"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","dnt_is_foreign","dnt_objectType_encoded","source_eng_company_address","source_ua_sameRegLivingAddress","source_eng_company_name","source_ukr_fullname","source_eng_company_code","person","source_ukr_company_name","dnt_sizeIncome_hidden","incomeSource","otherObjectType","source_eng_fullname","source_ua_company_code","source_ua_company_name","source_ua_lastname","iteration","source_ua_firstname","source_citizen","sizeIncome","source_ukr_company_address","source_ua_middlename","objectType","object_id","ownershipType","otherOwnership","percent.ownership","source_ua_company_code_extendedstatus","source_ua_actualAddress_extendedstatus","source_ua_taxNumber_extendedstatus","source_ua_birthday_extendedstatus","incomeSource_extendedstatus","source_citizen_extendedstatus","source_ua_regAddress_extendedstatus","sizeIncome_extendedstatus","source_eng_company_code_extendedstatus","source_eng_company_address_extendedstatus","source_ukr_company_address_extendedstatus","source_ua_middlename_extendedstatus","source_ua_lastname_extendedstatus","source_ua_firstname_extendedstatus","otherObjectType_extendedstatus","source_ua_company_name_extendedstatus","objectType_extendedstatus","source_eng_birthday_extendedstatus","source_eng_regAddress_extendedstatus","source_eng_fullname_extendedstatus","source_eng_taxNumber_extendedstatus","source_ukr_regAddress_extendedstatus","declarant","subjectRelation"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","FALSE","dividends","","","","","","1","","FALSE","j","","","31189253","ТОВ ""Панда""","","1477560514561","","Юридична особа, зареєстрована в Україні",48000000,"","","Дивіденди","1477560514561","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","FALSE","business","","","","","","1477511772358","","FALSE","1477511772358","","","","","","1490746808798","","",797686,"","","Дохід від зайняття підприємницькою діяльністю","1490746808798","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобова Світлана Леонідівна","дружина"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","FALSE","dividends","","","","","","1477511772358","","FALSE","j","","","31189253","ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПАНДА""","","1490746030264","","Юридична особа, зареєстрована в Україні",12000000,"","","Дивіденди","1490746030264","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобова Світлана Леонідівна","дружина"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","FALSE","salarymain","","","","","","1","","FALSE","j","","","20064120","Управління справами Верховної Ради України","","1477560355008","","Юридична особа, зареєстрована в Україні",205790,"","","Заробітна плата отримана за основним місцем роботи","1477560355008","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобов Геннадій Борисович",NA
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","FALSE","leasing","","","","","","1477511772358","","FALSE","j","","","32012939","СТОВ ""АГРОФІРМА КОРСУНЬ""","","1490795456083","","Юридична особа, зареєстрована в Україні",20347,"","","Дохід від надання майна в оренду","1490795456083","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобова Світлана Леонідівна","дружина"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","FALSE","saleestate","","FALSE","","","","1477511772358","","FALSE","j","","","","","Солодка","1490792273644","Ірина","Громадянин України",140000,"","Анатоліївна","Дохід від відчуження нерухомого майна","1490792273644","Власність","",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобова Світлана Леонідівна","дружина"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Бобов","FALSE","Борисович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","Геннадій","FALSE","saleestate","","FALSE","","","","1477511772358","","FALSE","j","","","","","Солодка ","1490746904356","Ірина","Громадянин України",405520,"","Анатоліївна","Дохід від відчуження нерухомого майна","1490746904356","Власність","",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бобова Світлана Леонідівна","дружина"
"Богдан Руслан Дмитрович","Верховна Рада України","народний депутат","nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Богдан","FALSE","Дмитрович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Руслан","FALSE","salarymain","","","","","","1490771029061","","FALSE","1490771029061","","","","","","1490797717702","","",1600,"","","Заробітна плата отримана за основним місцем роботи","1490797717702","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богдан Ірина Миколаївна","дружина"
"Богдан Руслан Дмитрович","Верховна Рада України","народний депутат","nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Богдан","FALSE","Дмитрович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9d69a152-4cfc-4feb-886d-469a3da65746","Руслан","FALSE","salarymain","","","","","","1","","FALSE","1","","","","","","1490798633841","","",218242,"","","Заробітна плата отримана за основним місцем роботи","1490798633841","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богдан Руслан Дмитрович",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","presentnomoney","","FALSE","","","","1","","FALSE","j","","","","","Березовський","1521477980636","Вадим","Громадянин України",1000,"","Якимович","Подарунок у негрошовій формі","1521477980636","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","salarysecond","","","","","","1477560601122","","FALSE","j","","","40860756","Товариство з обмеженою відповідальністю ""ГРІНФІН ПРОПЕРТІ ІНВЕСТМЕНТ""","","1490985397216","","Юридична особа, зареєстрована в Україні",1783,"","","Заробітна плата отримана за сумісництвом","1490985397216","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік"
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","leasing","","FALSE","","","","1","","FALSE","j","","","","","Деркач ","1521208469606","Людмила","Громадянин України",135000,"","Віталіївна","Дохід від надання майна в оренду","1521208469606","Власність","",NA,NA,"2",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","royalty","","","","","","1","","FALSE","j","","","31025266","ДО ""Українське агентство з авторських та суміжних прав""","","1477659497614","","Юридична особа, зареєстрована в Україні",2,"","","Роялті","1477659497614","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","royalty","","","","","","1477560601122","","FALSE","j","","","20078820","Адвокатське об'єднання ""Адвокатська фірма ""Паритет""","","1521478801112","","Юридична особа, зареєстрована в Україні",279688,"","","Роялті","1521478801112","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік"
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","TRUE","salarysecond","1050, Austria, Vienna, Arbeitergasse 8-22","","Grandaut Investitionen Gmbh","","473580t","1477560601122","Грандаут Інвестіцьйонен Гмбх","FALSE","j","","","","","","1521478128516","","Юридична особа, зареєстрована за кордоном",663209,"1050, Австрія, Відень, Арбейтергассе, 8/22","","Заробітна плата отримана за сумісництвом","1521478128516","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік"
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","TRUE","other","","","Budget ordinaire, Council of Europe","","","1","Рада Європи","FALSE","j","Компенсація витрат (добових) на відрядження","","","","","1490983935751","","Юридична особа, зареєстрована за кордоном",3812,"","","Інше","1490983935751","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","TRUE","leasing","04112, Kyiv, Ukraine, I. Sikorsky St., 4","","U.S. Embassy in Ukraine","","","1","Посольство Сполучених Штатів Америки в Україні","FALSE","j","","","","","","1477658983735","","Юридична особа, зареєстрована за кордоном",1469982,"04112, Україна, Київ, вул. Сікорського, 4 ","","Дохід від надання майна в оренду","1477658983735","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","dividends","","","","","","1477560601122","","FALSE","j","","","20078820","Адвокатське об'єднання ""Адвокатська фірма ""Паритет""","","1521478723780","","Юридична особа, зареєстрована в Україні",2100000,"","","Дивіденди","1521478723780","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік"
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","salestock","","FALSE","","","","1477560601122","","FALSE","j","","","","","Черкашіна","1521478881342","Юлія","Громадянин України",227700,"","Юріївна","Дохід від відчуження цінних паперів та корпоративних прав","1521478881342","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік"
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","leasing","","FALSE","","","","1","","FALSE","j","","","","","Хлібас ","1521208963958","Оксана ","Громадянин України",520000,"","Миколаївна","Дохід від надання майна в оренду","1521208963958","Власність","",NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","leasing","","FALSE","","","","1","","FALSE","j","","","","","Саєнко ","1490983779845","Наталія ","Громадянин України",294870,"","Миколаївна ","Дохід від надання майна в оренду","1490983779845","Власність","",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","interest","","","","","","1","","FALSE","j","","","26296587","Філія АТ ""Укрексімбанк"" в м. Києві","","1477659437157","","Юридична особа, зареєстрована в Україні",39549,"","","Проценти","1477659437157","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","salarysecond","","","","","","1","","FALSE","j","","","01896872","Харківська медична академія післядипломної освіти","","1477658857291","","Юридична особа, зареєстрована в Україні",20032,"","","Заробітна плата отримана за сумісництвом","1477658857291","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","other","","FALSE","","","","1","","FALSE","j","Аліменти на утримання дитини","","","","Шереметьєв ","1477659690191","Олексій","Громадянин України",240000,"","Євгенович","Інше","1477659690191","Власність","",NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","salestock","","FALSE","","","","1477560601122","","FALSE","j","","","","","Буцан","1521479225876","Дмитро","Громадянин України",99000,"","Валерійович","Дохід від відчуження цінних паперів та корпоративних прав","1521479225876","Власність","",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік"
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","leasing","","FALSE","","","","1","","FALSE","j","","","","","Савранська ","1521208712199","Олена","Громадянин України",110000,"","Олександрівна","Дохід від надання майна в оренду","1521208712199","Власність","",NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","leasing","","FALSE","","","","1","","FALSE","j","","","","","Оленська ","1490983697505","Ольга ","Громадянин України",132000,"","Валентинівна","Дохід від надання майна в оренду","1490983697505","Власність","",NA,NA,"2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","salarymain","","","","","","1","","FALSE","j","","","20064120","Управління справами Верховної Ради України","","1477658683245","","Юридична особа, зареєстрована в Україні",254499,"","","Заробітна плата отримана за основним місцем роботи","1477658683245","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","salarysecond","","","","","","1","","FALSE","j","","","22998499","Українська військово-медична академія","","1477658911432","","Юридична особа, зареєстрована в Україні",29053,"","","Заробітна плата отримана за сумісництвом","1477658911432","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","leasing","","FALSE","","","","1","","FALSE","j","","","","","Смірнова ","1521209116156","Катерина ","Громадянин України",416340,"","Євгенівна","Дохід від надання майна в оренду","1521209116156","Власність","",NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","leasing","","FALSE","","","","1","","FALSE","j","","","","","Голинська ","1521209283972","Зоряна ","Громадянин України",79200,"","Богданівна","Дохід від надання майна в оренду","1521209283972","Власність","",NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","other","","","","","","1","","FALSE","j","Дохід від продажу домену","","31407815","Приватне підприємство ""Інститут дерматокосметології доктора Богомолець""","","1521477858924","","Юридична особа, зареєстрована в Україні",918,"","","Інше","1521477858924","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","salarysecond","","","","","","1","","FALSE","j","","","31407815","Приватне підприємство ""Інститут дерматокосметології доктора Богомолець""","","1477658766612","","Юридична особа, зареєстрована в Україні",35400,"","","Заробітна плата отримана за сумісництвом","1477658766612","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","TRUE","other","04112, Kyiv, Ukraine, I. Sikorsky St., 4","","U.S. Embassy in Ukraine","","","1","Посольство Сполучених Штатів Америки в Україні","FALSE","j","Компенсація комунальних платежів","","","","","1477659555046","","Юридична особа, зареєстрована за кордоном",165312,"04112, Україна, Київ, вул. Сікорського, 4 ","","Інше","1477659555046","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","salarymain","","","","","","1477560601122","","FALSE","j","","","20078820","Адвокатське об'єднання ""Адвокатська фірма ""Паритет""","","1477660239335","","Юридична особа, зареєстрована в Україні",69166,"","","Заробітна плата отримана за основним місцем роботи","1477660239335","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік"
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","FALSE","leasing","","FALSE","","","","1","","FALSE","j","","","","","Агєєва ","1490983614653","Олена","Громадянин України",130450,"","Геннадіївна","Дохід від надання майна в оренду","1490983614653","Власність","",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Богомолець Ольга Вадимівна",NA
